City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alice springs,-23.7,133.8833,20.75,28,0,3.09,AU,1710616635
1,ingleby greenhow,54.4498,-1.1069,8.41,85,100,7.15,GB,1710616635
2,matli,25.0431,68.6557,25.47,20,0,1.92,PK,1710616636
3,port-aux-francais,-49.35,70.2167,6.05,85,99,11.95,TF,1710616637
4,adamstown,-25.066,-130.1015,25.54,82,43,5.63,PN,1710616497
5,pledran,48.45,-2.75,12.82,80,75,3.6,FR,1710616638
6,hawaiian paradise park,19.5933,-154.9731,23.28,94,100,3.09,US,1710616638
7,ribeira grande,38.5167,-28.7,17.22,67,40,8.75,PT,1710616639
8,tiksi,71.6872,128.8694,-27.54,96,98,2.1,RU,1710616640
9,briceni,48.3572,27.7036,6.4,84,19,3.61,MD,1710616640
10,talnakh,69.4865,88.3972,-11.55,95,100,5.77,RU,1710616641
11,murzuq,25.9155,13.9184,18.97,24,56,4.52,LY,1710616642
12,invercargill,-46.4,168.35,9.45,93,100,1.34,NZ,1710616642
13,dukhan,25.4297,50.7858,23.67,58,100,4.36,QA,1710616643
14,calasparra,38.23,-1.6999,18.96,42,100,2.63,ES,1710616643
15,grytviken,-54.2811,-36.5092,5.48,87,56,4.57,GS,1710616644
16,blackmans bay,-43.0167,147.3167,11.07,91,100,2.21,AU,1710616645
17,margate,51.3813,1.3862,9.94,76,100,2.24,GB,1710616645
18,chibougamau,49.9168,-74.3659,-0.21,47,0,4.12,CA,1710616646
19,tura,25.5198,90.2201,20.69,38,0,1.16,IN,1710616646
20,sisimiut,66.9395,-53.6735,-9.24,79,31,3.43,GL,1710616647
21,port mathurin,-19.6833,63.4167,26.19,80,14,10.67,MU,1710616648
22,constantia,44.1833,28.65,7.26,80,96,3.04,RO,1710616631
23,albany,42.6001,-73.9662,13.71,49,90,0.89,US,1710616304
24,bayanhongor,46.7167,100.1167,-24.3,85,9,1.8,MN,1710616650
25,whitehorse,60.7161,-135.0538,6.43,74,40,10.8,CA,1710616612
26,palikir - national government center,6.9248,158.1611,27.41,83,100,2.06,FM,1710616410
27,west island,-12.1568,96.8225,25.99,78,40,2.06,CC,1710616652
28,bethel,41.3712,-73.414,15.2,47,20,5.14,US,1710616449
29,hamilton,39.1834,-84.5333,17.65,47,0,7.72,US,1710616003
30,vale da amoreira,39.0697,-7.6985,16.1,85,100,0.59,PT,1710616654
31,edinburgh of the seven seas,-37.0676,-12.3116,18.03,81,100,5.8,SH,1710616655
32,dereli,40.7378,38.4493,7.09,99,100,1.45,TR,1710616656
33,remire-montjoly,4.9167,-52.2667,31.02,66,75,7.2,GF,1710616657
34,nemuro,43.3236,145.575,-0.9,79,100,1.71,JP,1710616657
35,iqaluit,63.7506,-68.5145,-13.15,78,75,0.0,CA,1710616658
36,puerto natales,-51.7236,-72.4875,8.25,66,75,11.32,CL,1710616626
37,yellowknife,62.456,-114.3525,-14.69,55,75,3.09,CA,1710616659
38,derzhavinsk,51.1,66.3167,-12.44,94,65,3.44,KZ,1710616660
